Course,Handed,Sex,Verbal,Age
Natural,left,female,NA,19.5
Natural,right,male,570,25.17
Natural,right,female,700,20.67
Natural,right,female,670,18.83
Natural,right,male,NA,19
 Social,right,female,620,19
Natural,right,female,640,20.67
Natural,right,female,620,19.42
Business,right,male,610,20.17
Natural,right,female,720,19.58
Natural,right,female,720,18
Natural,right,male,600,20.5
Natural,right,female,680,19.33
Natural,right,female,NA,17.92
Natural,right,female,NA,20.83
Natural,right,female,700,19.33
Natural,right,female,NA,19.42
Business,right,male,600,20
Natural,right,female,590,20.67
Natural,right,female,640,18.42
Natural,right,male,600,18.58
Natural,right,female,NA,20.25
Natural,right,female,500,19.08
Natural,right,male,NA,19.75
Natural,right,male,600,20.08
Natural,left,female,570,21
Natural,right,female,670,19
Natural,right,male,480,19.83
Natural,right,male,660,21.67
Natural,right,female,620,20.17
Natural,right,female,800,19.67
Natural,right,male,550,20
Natural,right,male,600,28.25
Natural,right,female,540,19.75
Natural,right,male,590,21.08
Natural,right,male,500,20.17
Natural,left,male,450,22.08
Natural,right,male,590,34.42
Natural,right,female,660,19.08
Natural,right,male,640,21.58
Natural,right,female,580,19.75
Natural,right,male,590,23.5
Natural,right,female,580,19.33
Natural,right,female,600,19.33
Natural,right,female,520,19.58
Natural,right,male,690,19.92
Natural,right,female,630,18.42
Natural,right,female,550,20.17
Natural,left,male,550,18.5
Natural,right,female,500,20.08
Natural,right,female,580,19.25
Natural,right,female,520,18.67
Natural,left,male,480,19.08
Natural,right,male,540,19.67
Natural,right,female,710,17.92
Natural,left,male,590,21.25
Natural,right,female,560,19.33
Natural,right,female,520,19
Natural,right,female,790,19.92
Natural,right,female,600,21.17
Natural,right,male,540,22.83
 Social,right,female,610,19.5
Natural,right,female,500,20.83
Natural,left,female,670,20.5
Natural,right,male,500,19.25
Natural,right,male,550,23
Natural,right,female,610,19.33
Natural,right,female,520,19.33
Natural,right,female,500,19.25
Natural,right,female,NA,19.5
Business,right,male,700,25
 Social,right,female,590,20.25
Natural,right,male,NA,20
Natural,right,female,NA,20.33
 Social,left,female,590,20.75
 Social,right,male,600,20.83
Natural,right,female,690,19.5
Natural,right,male,710,18.67
Natural,right,female,620,19.17
Natural,right,female,600,19
Natural,right,female,620,21.92
Natural,right,male,600,18.92
Natural,right,female,620,19.92
Natural,right,male,560,19
Natural,right,female,620,19.33
Natural,right,female,NA,19.42
Natural,right,female,500,23
 Social,right,female,660,19.25
Natural,right,male,500,20.42
Natural,right,male,650,20
 Social,right,male,630,20.58
Natural,left,female,630,18.5
Natural,right,female,560,20.58
Natural,right,female,600,19.33
Natural,right,male,700,19.58
Natural,right,female,620,20.25
Natural,right,female,650,19.08
Natural,right,female,580,19.25
Natural,right,female,600,19.08
Natural,right,male,660,19
Natural,right,female,560,19.25
Natural,right,female,710,19.58
Natural,right,female,500,19.42
Natural,right,male,680,24.17
 Social,right,female,630,18.75
Natural,left,female,600,19.17
Natural,right,male,740,20.83
Natural,right,female,530,20.17
Natural,right,female,650,19.17
Natural,left,female,560,19.58
 Social,right,female,620,19.42
 Social,right,female,670,19.58
 Social,right,female,650,20.75
 Social,right,female,720,19.92
 Social,right,male,560,21.25
 Social,right,female,560,19.83
